client_id,event,timestamp
219483890,catalog,2019-11-01 17:59:13.273932
219483890,product1,2019-11-01 17:59:28.459271
219483890,cart,2019-11-01 17:59:29.502214
219483890,catalog,2019-11-01 17:59:32.557029
964964743,catalog,2019-11-01 21:38:19.283663
964964743,cart,2019-11-01 21:38:36.761221
964964743,delivery_choice,2019-11-01 21:38:37.564693
629881394,main,2019-11-01 22:28:54.791683
629881394,catalog,2019-11-01 22:29:01.049513
629881394,catalog,2019-11-01 22:29:32.322458
629881394,catalog,2019-11-01 22:30:09.450839
629881394,catalog,2019-11-01 22:31:05.565762
629881394,main,2019-11-01 22:31:08.333560
629881394,catalog,2019-11-01 22:31:09.010626
629881394,product1,2019-11-01 22:31:10.416231
629881394,catalog,2019-11-01 22:31:43.019527
629881394,catalog,2019-11-01 22:32:01.596163
629881394,product1,2019-11-01 22:32:07.348536
629881394,catalog,2019-11-01 22:32:10.165568
629881394,product2,2019-11-01 22:32:16.496241
629881394,catalog,2019-11-01 22:33:17.682468
629881394,product1,2019-11-01 22:33:19.961115
629881394,catalog,2019-11-01 22:33:35.460345
629881394,catalog,2019-11-01 22:34:02.301293
629881394,product2,2019-11-01 22:34:32.362386
629881394,catalog,2019-11-01 22:35:01.462515
629881394,product2,2019-11-01 22:35:33.142711
629881394,cart,2019-11-01 22:35:50.437706
629881394,delivery_choice,2019-11-01 22:35:57.649549
629881394,delivery_courier,2019-11-01 22:36:02.009271
629881394,payment_choice,2019-11-01 22:36:02.243274
629881394,payment_cash,2019-11-01 22:36:03.415201
629881394,payment_done,2019-11-01 22:36:03.999697
495985018,catalog,2019-11-02 01:14:08.664850
495985018,cart,2019-11-02 01:14:37.435643
207580913,main,2019-11-02 06:44:11.820783
207580913,catalog,2019-11-02 06:44:12.757637
207580913,catalog,2019-11-02 06:44:53.512884
207580913,catalog,2019-11-02 06:46:12.592477
207580913,product2,2019-11-02 06:46:13.791078
207580913,catalog,2019-11-02 06:46:16.096421
207580913,cart,2019-11-02 06:46:32.438520
207580913,delivery_choice,2019-11-02 06:46:32.648913
729416583,catalog,2019-11-02 07:24:07.207069
729416583,cart,2019-11-02 07:24:31.972354
729416583,delivery_choice,2019-11-02 07:24:37.878307
24427596,main,2019-11-02 07:28:07.285541
24427596,catalog,2019-11-02 07:28:14.319850
24427596,catalog,2019-11-02 07:29:08.301333
24427596,catalog,2019-11-02 07:29:41.848396
76119122,catalog,2019-11-02 12:57:30.800288
76119122,catalog,2019-11-02 12:58:30.679688
76119122,catalog,2019-11-02 12:58:46.719307
76119122,product2,2019-11-02 12:58:46.855343
76119122,catalog,2019-11-02 12:58:56.260927
76119122,cart,2019-11-02 12:58:58.613059
76119122,delivery_choice,2019-11-02 12:59:01.865891
76119122,delivery_courier,2019-11-02 12:59:02.473729
76119122,payment_choice,2019-11-02 12:59:04.146928
465044817,main,2019-11-02 13:58:35.780546
465044817,catalog,2019-11-02 13:58:36.273619
465044817,product1,2019-11-02 13:58:39.080514
613604495,main,2019-11-02 23:25:03.672939
613604495,catalog,2019-11-02 23:25:07.390498
613604495,catalog,2019-11-02 23:25:48.043605
613604495,product2,2019-11-02 23:26:08.845033
613604495,cart,2019-11-02 23:26:37.007346
613604495,catalog,2019-11-02 23:26:38.406224
613604495,cart,2019-11-02 23:27:09.279245
613604495,catalog,2019-11-02 23:27:11.432713
613604495,product2,2019-11-02 23:27:43.193619
613604495,cart,2019-11-02 23:27:48.110186
613604495,delivery_choice,2019-11-02 23:27:48.292051
613604495,delivery_pickup,2019-11-02 23:27:59.789239
145194414,main,2019-11-03 00:01:33.379289
145194414,catalog,2019-11-03 00:01:34.899457
145194414,catalog,2019-11-03 00:02:29.140384
145194414,catalog,2019-11-03 00:02:39.626302
145194414,cart,2019-11-03 00:03:10.434493
145194414,catalog,2019-11-03 00:03:14.617026
574105483,catalog,2019-11-03 01:10:08.885885
574105483,cart,2019-11-03 01:10:44.959745
272031070,catalog,2019-11-03 01:55:54.663203
633220717,catalog,2019-11-03 05:42:48.531786
633220717,product1,2019-11-03 05:43:00.738005
633220717,catalog,2019-11-03 05:43:05.808720
633220717,catalog,2019-11-03 05:43:21.900168
633220717,main,2019-11-03 05:43:34.602160
633220717,catalog,2019-11-03 05:43:37.848665
633220717,catalog,2019-11-03 05:43:45.735491
633220717,product2,2019-11-03 05:44:05.086310
633220717,catalog,2019-11-03 05:45:27.745670
633220717,catalog,2019-11-03 05:45:44.131615
633220717,main,2019-11-03 05:45:50.763371
633220717,catalog,2019-11-03 05:45:58.647534
633220717,main,2019-11-03 05:46:33.309713
633220717,catalog,2019-11-03 05:46:36.941034
730545582,main,2019-11-03 06:32:42.811857
754782579,catalog,2019-11-03 07:39:29.737937
754782579,catalog,2019-11-03 07:39:38.517458
792179492,catalog,2019-11-03 08:00:06.795457
792179492,catalog,2019-11-03 08:00:22.707904
792179492,cart,2019-11-03 08:00:44.856906
792179492,delivery_choice,2019-11-03 08:00:45.895518
792179492,delivery_courier,2019-11-03 08:00:49.123487
792179492,payment_choice,2019-11-03 08:00:50.478323
792179492,payment_cash,2019-11-03 08:00:52.686110
279769797,catalog,2019-11-03 08:14:58.934645
279769797,catalog,2019-11-03 08:15:09.963955
416817498,main,2019-11-03 09:50:08.154582
416817498,catalog,2019-11-03 09:50:11.785232
416817498,product2,2019-11-03 09:50:18.119209
416817498,cart,2019-11-03 09:50:39.763166
416817498,delivery_choice,2019-11-03 09:50:44.354276
416817498,delivery_pickup,2019-11-03 09:50:45.104351
456870964,catalog,2019-11-03 11:46:55.411714
456870964,catalog,2019-11-03 11:47:46.131302
456870964,catalog,2019-11-03 11:47:58.401143
456870964,product1,2019-11-03 11:48:43.243587
456870964,cart,2019-11-03 11:49:17.050519
456870964,catalog,2019-11-03 11:49:17.516398
456870964,product2,2019-11-03 11:49:28.927721
456870964,catalog,2019-11-03 11:49:30.788195
836120732,catalog,2019-11-03 18:40:36.644111
63911040,catalog,2019-11-03 20:16:51.398818
63911040,main,2019-11-03 20:16:56.618817
63911040,catalog,2019-11-03 20:17:00.719787
63911040,catalog,2019-11-03 20:17:39.612109
63911040,main,2019-11-03 20:17:59.031582
63911040,catalog,2019-11-03 20:18:03.714553
63911040,cart,2019-11-03 20:18:54.515245
63911040,catalog,2019-11-03 20:19:06.832706
63911040,product2,2019-11-03 20:19:16.645193
63911040,catalog,2019-11-03 20:19:24.750021
63911040,product1,2019-11-03 20:19:33.004833
63911040,catalog,2019-11-03 20:19:37.228611
63911040,catalog,2019-11-03 20:20:14.198004
63911040,cart,2019-11-03 20:20:48.716772
63911040,catalog,2019-11-03 20:20:50.100597
63911040,catalog,2019-11-03 20:21:27.032699
63911040,product2,2019-11-03 20:21:46.382803
63911040,cart,2019-11-03 20:22:00.183954
63911040,delivery_choice,2019-11-03 20:22:04.206222
592380978,catalog,2019-11-03 22:01:03.679217
592380978,catalog,2019-11-03 22:01:08.749385
431785094,catalog,2019-11-04 03:08:44.571410
666381946,main,2019-11-04 04:49:10.059848
697551750,catalog,2019-11-04 04:53:59.778252
697551750,catalog,2019-11-04 04:54:07.208460
697551750,cart,2019-11-04 04:54:14.858435
801210206,catalog,2019-11-04 07:17:12.995733
801210206,catalog,2019-11-04 07:17:38.336007
801210206,product2,2019-11-04 07:17:39.279144
801210206,catalog,2019-11-04 07:17:47.297518
801210206,product1,2019-11-04 07:17:48.303530
778558635,main,2019-11-04 07:52:56.187714
778558635,catalog,2019-11-04 07:52:56.601215
778558635,catalog,2019-11-04 07:53:05.260919
778558635,catalog,2019-11-04 07:53:27.840991
839112589,catalog,2019-11-04 08:08:13.975544
839112589,catalog,2019-11-04 08:08:46.055548
839112589,product2,2019-11-04 08:08:48.463427
428990197,main,2019-11-04 09:24:03.061328
428990197,catalog,2019-11-04 09:24:07.656982
753512589,catalog,2019-11-04 14:54:45.335925
753512589,catalog,2019-11-04 14:54:55.671639
516514340,main,2019-11-04 15:54:34.878766
516514340,main,2019-11-04 15:54:36.663133
861613226,catalog,2019-11-04 16:48:17.792373
861613226,cart,2019-11-04 16:48:24.826505
861613226,catalog,2019-11-04 16:48:25.175152
861613226,catalog,2019-11-04 16:49:04.947476
861613226,product2,2019-11-04 16:49:05.769667
801210206,main,2019-11-04 20:01:02.343098
801210206,main,2019-11-04 20:01:04.435338
801210206,catalog,2019-11-04 20:01:18.665141
801210206,catalog,2019-11-04 20:01:33.729889
207580913,main,2019-11-04 22:27:57.826707
207580913,catalog,2019-11-04 22:28:02.327635
207580913,catalog,2019-11-04 22:28:57.980461
207580913,product1,2019-11-04 22:29:03.768706
207580913,cart,2019-11-04 22:29:19.299900
207580913,delivery_choice,2019-11-04 22:29:27.614448
207580913,delivery_courier,2019-11-04 22:29:30.206004
207580913,payment_choice,2019-11-04 22:29:32.449135
207580913,payment_cash,2019-11-04 22:29:32.950933
462119278,catalog,2019-11-05 08:03:36.768230
462119278,catalog,2019-11-05 08:03:59.034418
462119278,product2,2019-11-05 08:04:16.639539
462119278,catalog,2019-11-05 08:04:23.851930
968444450,catalog,2019-11-05 08:44:39.682974
968444450,catalog,2019-11-05 08:45:09.745383
968444450,product2,2019-11-05 08:45:24.444178
968444450,catalog,2019-11-05 08:45:37.339860
968444450,catalog,2019-11-05 08:46:25.628659
968444450,product2,2019-11-05 08:47:02.483681
968444450,cart,2019-11-05 08:47:17.534428
968444450,delivery_choice,2019-11-05 08:47:25.498490
968444450,delivery_courier,2019-11-05 08:47:32.793317
968444450,payment_choice,2019-11-05 08:47:33.562462
968444450,payment_card,2019-11-05 08:47:38.724832
968444450,payment_done,2019-11-05 08:47:38.870242
120396150,catalog,2019-11-05 11:28:33.853840
120396150,product2,2019-11-05 11:28:34.337331
120396150,catalog,2019-11-05 11:29:01.256723
120396150,cart,2019-11-05 11:29:41.955554
120396150,catalog,2019-11-05 11:29:43.721164
120396150,catalog,2019-11-05 11:29:56.991795
190361938,main,2019-11-05 12:55:51.789295
190361938,catalog,2019-11-05 12:55:55.422595
190361938,catalog,2019-11-05 12:56:49.895734
190361938,product2,2019-11-05 12:57:01.385161
190361938,catalog,2019-11-05 12:57:45.031224
190361938,product2,2019-11-05 12:57:55.274496
190361938,catalog,2019-11-05 12:57:58.355132
190361938,catalog,2019-11-05 12:59:11.397446
190361938,catalog,2019-11-05 12:59:50.848225
190361938,catalog,2019-11-05 13:00:03.144078
754402650,main,2019-11-05 14:36:29.219935
