event_name,event_timestamp,user_pseudo_id
onboarding_welcome_screen,1538405774195002000,19abd470e3fe588ae02c83973d4e8dea
lost,1538405774195003000,19abd470e3fe588ae02c83973d4e8dea
onboarding_welcome_screen,1538397432261002000,80f4a724cd5c5a1a4d187fa59e2aa1e3
onboarding__chooseLoginType,1538397440902004000,80f4a724cd5c5a1a4d187fa59e2aa1e3
onboarding_privacy_policyShown,1538397440956005000,80f4a724cd5c5a1a4d187fa59e2aa1e3
onboarding_login_Type2,1538397440966006000,80f4a724cd5c5a1a4d187fa59e2aa1e3
onboarding_privacy_policyAccepted,1538397443302011000,80f4a724cd5c5a1a4d187fa59e2aa1e3
lost,1538397443302012000,80f4a724cd5c5a1a4d187fa59e2aa1e3
onboarding_welcome_screen,1538367520411002000,1b3bdafd3d134aa15e28f21aa3eb7ed3
onboarding_otherLogin__show,1538367533559006000,1b3bdafd3d134aa15e28f21aa3eb7ed3
onboarding_otherLogin__chooseLoginType,1538367535857010000,1b3bdafd3d134aa15e28f21aa3eb7ed3
onboarding_otherLogin_privacy_policyShown,1538367535946011000,1b3bdafd3d134aa15e28f21aa3eb7ed3
lost,1538367535946012000,1b3bdafd3d134aa15e28f21aa3eb7ed3
onboarding_welcome_screen,1538346057455002000,af8fe64c11002448d645d034d6c771b3
onboarding__chooseLoginType,1538346068915042000,af8fe64c11002448d645d034d6c771b3
onboarding_privacy_policyShown,1538346068948043000,af8fe64c11002448d645d034d6c771b3
onboarding_login_Type1,1538346068957044000,af8fe64c11002448d645d034d6c771b3
onboarding_privacy_policyAccepted,1538346070793047000,af8fe64c11002448d645d034d6c771b3
onboarding_welcome_screen,1538346080868010000,af8fe64c11002448d645d034d6c771b3
onboarding_welcome_screen,1538346087923045000,af8fe64c11002448d645d034d6c771b3
passed,1538346160428072000,af8fe64c11002448d645d034d6c771b3
onboarding_welcome_screen,1538362302920002000,d1e5ab7435e7f588eef813a06d3dd261
onboarding__chooseLoginType,1538362305758007000,d1e5ab7435e7f588eef813a06d3dd261
onboarding_privacy_policyShown,1538362305787008000,d1e5ab7435e7f588eef813a06d3dd261
onboarding_login_Type1,1538362305796009000,d1e5ab7435e7f588eef813a06d3dd261
onboarding_privacy_policyAccepted,1538362307653014000,d1e5ab7435e7f588eef813a06d3dd261
onboarding_welcome_screen,1538362339173009000,d1e5ab7435e7f588eef813a06d3dd261
onboarding_welcome_screen,1538362346624021000,d1e5ab7435e7f588eef813a06d3dd261
passed,1538362365786077000,d1e5ab7435e7f588eef813a06d3dd261
